Model;Parametr;Accuracy;Recall_klasa_1
KNN;n_neighbors=3;0,879;0,5908
KNN;n_neighbors=5;0,8847;0,5737
KNN;n_neighbors=7;0,8874;0,5674
KNN;n_neighbors=9;0,8875;0,5547
KNN;metric=euclidean;0,8847;0,5737
KNN;metric=manhattan;0,8884;0,5791
KNN;metric=chebyshev;0,8746;0,5386
KNN;metric=minkowski;0,8847;0,5737
SVM;C=0.1;0,8924;0,5439
SVM;C=1.0;0,9166;0,6577
SVM;C=10.0;0,9188;0,6743
SVM;C=100.0;0,9129;0,6875
SVM;kernel=linear;0,8702;0,5605
SVM;kernel=poly;0,9068;0,6284
SVM;kernel=rbf;0,9166;0,6577
SVM;kernel=sigmoid;0,7319;0,3872
Decision Tree;max_depth=3;0,8835;0,5264
Decision Tree;max_depth=5;0,9095;0,6196
Decision Tree;max_depth=10;0,9323;0,7065
Decision Tree;max_depth=None;0,8939;0,7642
Decision Tree;min_samples_leaf=1;0,8939;0,7642
Decision Tree;min_samples_leaf=5;0,9161;0,7427
Decision Tree;min_samples_leaf=20;0,9259;0,7051
Decision Tree;min_samples_leaf=50;0,922;0,6763
Random Forest;n_estimators=10;0,9286;0,7061
Random Forest;n_estimators=50;0,9335;0,7222
Random Forest;n_estimators=100;0,9329;0,7231
Random Forest;n_estimators=200;0,9337;0,7241
Random Forest;max_depth=3;0,8583;0,3428
Random Forest;max_depth=5;0,8927;0,5083
Random Forest;max_depth=10;0,9276;0,6812
Random Forest;max_depth=None;0,9329;0,7231
