model;parametr;wartosc;RMSE_train;RMSE_test;MAE_train;MAE_test;R2_train;R2_test
KNN;n_neighbors;3;1,3389911271585733;1,9656104259157123;0,9201339747896804;1,3405410862357745;0,8102800096535677;0,5875478808472308
KNN;n_neighbors;5;1,5415866472272104;1,944478093083161;1,054235266809111;1,3215571664050747;0,7485257188240182;0,5963687763402892
KNN;n_neighbors;7;1,6532737109893516;1,9376068127497632;1,1243393818385743;1,314896647185618;0,7107674173443264;0,5992163918003133
KNN;n_neighbors;9;1,7261065709037058;1,952955668159742;1,171732166320741;1,3247641031876618;0,6847225514898816;0,5928415848937907
KNN;metric;euclidean;1,5415866472272104;1,944478093083161;1,054235266809111;1,3215571664050747;0,7485257188240182;0,5963687763402892
KNN;metric;manhattan;1,541314583030199;1,93253510772905;1,0603405097000447;1,3238279522223493;0,748614472980342;0,6013117560152323
KNN;metric;chebyshev;1,5562937857924923;1,9450532446370634;1,0744327716262942;1,3501890424969518;0,7437045700734481;0,5961299632009932
KNN;metric;minkowski;1,5415866472272104;1,944478093083161;1,054235266809111;1,3215571664050747;0,7485257188240182;0,5963687763402892
SVR;C;0.1;1,7447052830646617;1,724561382709982;1,2083760320672685;1,210231954526916;0,6778917503722739;0,6825056807738856
SVR;C;1.0;1,3851243264353914;1,4293540890838756;0,963111943336072;1,0134160795188607;0,7969816896649595;0,7818986759547798
SVR;C;10.0;1,2182768395505132;1,3705900724495133;0,8327141536375346;0,9844525931855044;0,8429457578385267;0,7994633254839478
SVR;C;100.0;1,1166430795819167;1,4486170302192043;0,7268188553893378;1,0463902329251935;0,868056970060608;0,7759805027113444
SVR;kernel;linear;1,306313400645243;1,3182513529562425;0,9281426607370056;0,9359761825160379;0,8194271470931886;0,8144866804514721
SVR;kernel;poly;1,6076589302921491;1,6960856768366601;1,1478760864090696;1,208105296392177;0,7265074313617412;0,692903958431683
SVR;kernel;rbf;1,3851243264353914;1,4293540890838756;0,963111943336072;1,0134160795188607;0,7969816896649595;0,7818986759547798
Decision Tree;max_depth;3;2,155811879092564;2,147541095529952;1,6676841601964107;1,6601453510821906;0,508210313333184;0,5076639785777172
Decision Tree;max_depth;5;1,4943401478020863;1,4718327465586192;0,9900372276378825;0,9915866232609549;0,7637038613705933;0,7687426377520783
Decision Tree;max_depth;10;1,2154779285743684;1,3612429400523425;0,8770986772810502;0,9720990975976482;0,8436665724743028;0,80218923344758
Decision Tree;max_depth;None;0,01985737274369643;1,8450419633349482;0,0003413619563954019;1,34131556598748;0,9999582745267016;0,6365947965578587
Decision Tree;min_samples_leaf;1;0,01985737274369643;1,8450419633349482;0,0003413619563954019;1,34131556598748;0,9999582745267016;0,6365947965578587
Decision Tree;min_samples_leaf;5;0,9463380965261161;1,5381306042021887;0,6986756771606614;1,149062211872142;0,9052344815242065;0,747439707390068
Decision Tree;min_samples_leaf;20;1,1970022811101457;1,3738740951069812;0,8873501899988203;1,0160137895742472;0,848383086407817;0,7985011764349975
Decision Tree;min_samples_leaf;50;1,3009902175328185;1,3702256973106468;0,9334431434885487;0,9867392622185689;0,8208958052058708;0,7995699377629745
Random Forest;n_estimators;10;0,5851083284117713;1,3774947756327527;0,403009630034496;1,015289325517739;0,9637731764875809;0,7974377249778379
Random Forest;n_estimators;50;0,5022450585245156;1,3224706590850943;0,3619943644290609;0,9661395310011953;0,9733075129566968;0,8132972409229557
Random Forest;n_estimators;100;0,49197051918178686;1,3150310596625683;0,356596450090406;0,9598024612186168;0,9743884505434424;0,8153919366586544
Random Forest;n_estimators;200;0,486501471550744;1,312882658336232;0,35320354140238397;0,9574502634846633;0,9749547130402889;0,8159946421647337
Random Forest;max_depth;3;2,155578070181299;2,147186632914859;1,6673028653697033;1,6595215232760923;0,508316981801781;0,5078264903096222
Random Forest;max_depth;5;1,4906408101487365;1,4645351809573677;0,9871771109774937;0,9876420944514973;0,7648723466175629;0,7710301694716306
Random Forest;max_depth;10;1,1960026706229838;1,306180090634045;0,8758479031615056;0,9430270670495434;0,8486362096919623;0,8178686256457598
Random Forest;max_depth;None;0,49197051918178686;1,3150310596625683;0,356596450090406;0,9598024612186168;0,9743884505434424;0,8153919366586543
